id,subcategory,GT_Decision,Pred_Decision,protocol,Metric_Name1,GT_Metric1,Pred_Metric1,Metric_Name2,GT_Metric2,Pred_Metric2,Metric_Name3,GT_Metric3,Pred_Metric3,RecoveredDecision,Decision_Correct,Metric1_Correct,Metric2_Correct,Metric3_Correct,All_Metrics_Correct
HYP-021,persistent_regional_anomaly_verification,REFUTED,REFUTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7226, 'refute_mean_abs_p50': 0.3832, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.1445,0.1712,min_fraction_cells_above_p75,0.0,0.0,min_yearly_mean_completeness,1.0,1.0,REFUTED,True,False,True,True,False
HYP-022,persistent_regional_anomaly_verification,REFUTED,REFUTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7763, 'refute_mean_abs_p50': 0.4078, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.1321,0.1445,min_fraction_cells_above_p75,0.0,0.0,min_yearly_mean_completeness,1.0,1.0,REFUTED,True,False,True,True,False
HYP-023,persistent_regional_anomaly_verification,REFUTED,REFUTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7226, 'refute_mean_abs_p50': 0.3832, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.1695,0.1321,min_fraction_cells_above_p75,0.0,0.0,min_yearly_mean_completeness,1.0,1.0,REFUTED,True,False,True,True,False
HYP-024,persistent_regional_anomaly_verification,REFUTED,REFUTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7763, 'refute_mean_abs_p50': 0.4078, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.2083,0.1695,min_fraction_cells_above_p75,0.0,0.0,min_yearly_mean_completeness,1.0,1.0,REFUTED,True,False,True,True,False
HYP-025,persistent_regional_anomaly_verification,REFUTED,REFUTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7226, 'refute_mean_abs_p50': 0.3832, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.3636,0.2083,min_fraction_cells_above_p75,0.1111,0.0,min_yearly_mean_completeness,1.0,1.0,REFUTED,True,False,False,True,False
HYP-026,persistent_regional_anomaly_verification,REFUTED,REFUTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7226, 'refute_mean_abs_p50': 0.3832, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.1962,0.3636,min_fraction_cells_above_p75,0.0,0.1111,min_yearly_mean_completeness,1.0,1.0,REFUTED,True,False,False,True,False
HYP-027,persistent_regional_anomaly_verification,INSUFFICIENT,REFUTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7226, 'refute_mean_abs_p50': 0.3832, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.7209,0.1962,min_fraction_cells_above_p75,0.4444,0.0,min_yearly_mean_completeness,1.0,1.0,REFUTED,False,False,False,True,False
HYP-028,persistent_regional_anomaly_verification,INSUFFICIENT,INSUFFICIENT,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7226, 'refute_mean_abs_p50': 0.3832, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.5149,0.7209,min_fraction_cells_above_p75,0.3333,0.4444,min_yearly_mean_completeness,1.0,1.0,INSUFFICIENT,True,False,False,True,False
HYP-029,persistent_regional_anomaly_verification,INSUFFICIENT,INSUFFICIENT,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7763, 'refute_mean_abs_p50': 0.4078, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.5112,0.5149,min_fraction_cells_above_p75,0.1111,0.3333,min_yearly_mean_completeness,1.0,1.0,INSUFFICIENT,True,False,False,True,False
HYP-030,persistent_regional_anomaly_verification,INSUFFICIENT,INSUFFICIENT,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7459, 'refute_mean_abs_p50': 0.402, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.4902,0.5112,min_fraction_cells_above_p75,0.1111,0.1111,min_yearly_mean_completeness,1.0,1.0,INSUFFICIENT,True,False,True,True,False
HYP-031,persistent_regional_anomaly_verification,INSUFFICIENT,INSUFFICIENT,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7226, 'refute_mean_abs_p50': 0.3832, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.4137,0.4902,min_fraction_cells_above_p75,0.1111,0.1111,min_yearly_mean_completeness,1.0,1.0,INSUFFICIENT,True,False,True,True,False
HYP-032,persistent_regional_anomaly_verification,INSUFFICIENT,INSUFFICIENT,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7896, 'refute_mean_abs_p50': 0.4256, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.4958,0.4137,min_fraction_cells_above_p75,0.2222,0.1111,min_yearly_mean_completeness,1.0,1.0,REFUTED,False,False,False,True,False
HYP-033,persistent_regional_anomaly_verification,INSUFFICIENT,INSUFFICIENT,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7226, 'refute_mean_abs_p50': 0.3832, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.3983,0.4958,min_fraction_cells_above_p75,0.1111,0.2222,min_yearly_mean_completeness,1.0,1.0,INSUFFICIENT,True,False,False,True,False
HYP-034,persistent_regional_anomaly_verification,INSUFFICIENT,INSUFFICIENT,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7226, 'refute_mean_abs_p50': 0.3832, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.4591,0.3983,min_fraction_cells_above_p75,0.2222,0.1111,min_yearly_mean_completeness,1.0,1.0,INSUFFICIENT,True,False,False,True,False
HYP-035,persistent_regional_anomaly_verification,INSUFFICIENT,INSUFFICIENT,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7226, 'refute_mean_abs_p50': 0.3832, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.3877,0.4591,min_fraction_cells_above_p75,0.1111,0.2222,min_yearly_mean_completeness,1.0,1.0,INSUFFICIENT,True,False,False,True,False
HYP-036,persistent_regional_anomaly_verification,INSUFFICIENT,INSUFFICIENT,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7226, 'refute_mean_abs_p50': 0.3832, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.8806,0.3877,min_fraction_cells_above_p75,0.2222,0.1111,min_yearly_mean_completeness,1.0,1.0,INSUFFICIENT,True,False,False,True,False
HYP-037,persistent_regional_anomaly_verification,INSUFFICIENT,INSUFFICIENT,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7763, 'refute_mean_abs_p50': 0.4078, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.4648,0.8806,min_fraction_cells_above_p75,0.3333,0.2222,min_yearly_mean_completeness,1.0,1.0,INSUFFICIENT,True,False,False,True,False
HYP-038,persistent_regional_anomaly_verification,INSUFFICIENT,INSUFFICIENT,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7896, 'refute_mean_abs_p50': 0.4256, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.5642,0.4648,min_fraction_cells_above_p75,0.1111,0.3333,min_yearly_mean_completeness,1.0,1.0,INSUFFICIENT,True,False,False,True,False
HYP-039,persistent_regional_anomaly_verification,INSUFFICIENT,INSUFFICIENT,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7763, 'refute_mean_abs_p50': 0.4078, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.4631,0.5642,min_fraction_cells_above_p75,0.1111,0.1111,min_yearly_mean_completeness,1.0,1.0,INSUFFICIENT,True,False,True,True,False
HYP-040,persistent_regional_anomaly_verification,INSUFFICIENT,INSUFFICIENT,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7459, 'refute_mean_abs_p50': 0.402, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.4907,0.4631,min_fraction_cells_above_p75,0.1111,0.1111,min_yearly_mean_completeness,1.0,1.0,INSUFFICIENT,True,False,True,True,False
HYP-041,localized_intensification_verification,SUPPORTED,INSUFFICIENT,"{'subcategory': 'localized_intensification_verification', 'thresholds': {'support_regional_change_q60': 0.0858, 'refute_regional_change_q25': -0.1941, 'support_contrast_change_q75': 0.1268, 'refute_contrast_change_q25': -0.1287, 'support_rainfall_change_q60': 0.2062, 'refute_rainfall_change_q25': -0.4409}}",regional_abs_anomaly_change,0.8476,0.4907,localized_contrast_change,0.4388,0.1111,regional_rainfall_change,1.9395,1.0,INSUFFICIENT,False,False,False,False,False
HYP-042,localized_intensification_verification,SUPPORTED,INSUFFICIENT,"{'subcategory': 'localized_intensification_verification', 'thresholds': {'support_regional_change_q60': 0.0858, 'refute_regional_change_q25': -0.1941, 'support_contrast_change_q75': 0.1268, 'refute_contrast_change_q25': -0.1287, 'support_rainfall_change_q60': 0.2062, 'refute_rainfall_change_q25': -0.4409}}",regional_abs_anomaly_change,0.0936,0.0,localized_contrast_change,0.2592,0.0,regional_rainfall_change,0.3405,0.0,INSUFFICIENT,False,False,False,False,False
HYP-043,localized_intensification_verification,SUPPORTED,INSUFFICIENT,"{'subcategory': 'localized_intensification_verification', 'thresholds': {'support_regional_change_q60': 0.0858, 'refute_regional_change_q25': -0.1941, 'support_contrast_change_q75': 0.1268, 'refute_contrast_change_q25': -0.1287, 'support_rainfall_change_q60': 0.2062, 'refute_rainfall_change_q25': -0.4409}}",regional_abs_anomaly_change,0.2429,0.0,localized_contrast_change,0.1935,0.0,regional_rainfall_change,0.4704,0.0,INSUFFICIENT,False,False,False,False,False
HYP-044,localized_intensification_verification,SUPPORTED,INSUFFICIENT,"{'subcategory': 'localized_intensification_verification', 'thresholds': {'support_regional_change_q60': 0.0858, 'refute_regional_change_q25': -0.1941, 'support_contrast_change_q75': 0.1268, 'refute_contrast_change_q25': -0.1287, 'support_rainfall_change_q60': 0.2062, 'refute_rainfall_change_q25': -0.4409}}",regional_abs_anomaly_change,1.2485,0.0,localized_contrast_change,0.391,0.0,regional_rainfall_change,2.5151,0.0,INSUFFICIENT,False,False,False,False,False
HYP-045,localized_intensification_verification,SUPPORTED,INSUFFICIENT,"{'subcategory': 'localized_intensification_verification', 'thresholds': {'support_regional_change_q60': 0.0858, 'refute_regional_change_q25': -0.1941, 'support_contrast_change_q75': 0.1268, 'refute_contrast_change_q25': -0.1287, 'support_rainfall_change_q60': 0.2062, 'refute_rainfall_change_q25': -0.4409}}",regional_abs_anomaly_change,0.1536,0.0,localized_contrast_change,0.1522,0.0,regional_rainfall_change,0.6319,0.0,INSUFFICIENT,False,False,False,False,False
HYP-046,localized_intensification_verification,SUPPORTED,INSUFFICIENT,"{'subcategory': 'localized_intensification_verification', 'thresholds': {'support_regional_change_q60': 0.0858, 'refute_regional_change_q25': -0.1941, 'support_contrast_change_q75': 0.1268, 'refute_contrast_change_q25': -0.1287, 'support_rainfall_change_q60': 0.2062, 'refute_rainfall_change_q25': -0.4409}}",regional_abs_anomaly_change,0.6393,0.0,localized_contrast_change,0.2146,0.0,regional_rainfall_change,0.6393,0.0,INSUFFICIENT,False,False,False,False,False
HYP-047,localized_intensification_verification,SUPPORTED,INSUFFICIENT,"{'subcategory': 'localized_intensification_verification', 'thresholds': {'support_regional_change_q60': 0.0858, 'refute_regional_change_q25': -0.1941, 'support_contrast_change_q75': 0.1268, 'refute_contrast_change_q25': -0.1287, 'support_rainfall_change_q60': 0.2062, 'refute_rainfall_change_q25': -0.4409}}",regional_abs_anomaly_change,0.71,0.0,localized_contrast_change,0.3229,0.0,regional_rainfall_change,0.8739,0.0,INSUFFICIENT,False,False,False,False,False
HYP-048,localized_intensification_verification,SUPPORTED,INSUFFICIENT,"{'subcategory': 'localized_intensification_verification', 'thresholds': {'support_regional_change_q60': 0.0858, 'refute_regional_change_q25': -0.1941, 'support_contrast_change_q75': 0.1268, 'refute_contrast_change_q25': -0.1287, 'support_rainfall_change_q60': 0.2062, 'refute_rainfall_change_q25': -0.4409}}",regional_abs_anomaly_change,0.5113,0.0,localized_contrast_change,0.1598,0.0,regional_rainfall_change,0.8767,0.0,INSUFFICIENT,False,False,False,False,False
HYP-049,localized_intensification_verification,SUPPORTED,INSUFFICIENT,"{'subcategory': 'localized_intensification_verification', 'thresholds': {'support_regional_change_q60': 0.0858, 'refute_regional_change_q25': -0.1941, 'support_contrast_change_q75': 0.1268, 'refute_contrast_change_q25': -0.1287, 'support_rainfall_change_q60': 0.2062, 'refute_rainfall_change_q25': -0.4409}}",regional_abs_anomaly_change,0.4475,0.0,localized_contrast_change,0.2384,0.0,regional_rainfall_change,0.8936,0.0,INSUFFICIENT,False,False,False,False,False
HYP-050,localized_intensification_verification,SUPPORTED,INSUFFICIENT,"{'subcategory': 'localized_intensification_verification', 'thresholds': {'support_regional_change_q60': 0.0858, 'refute_regional_change_q25': -0.1941, 'support_contrast_change_q75': 0.1268, 'refute_contrast_change_q25': -0.1287, 'support_rainfall_change_q60': 0.2062, 'refute_rainfall_change_q25': -0.4409}}",regional_abs_anomaly_change,0.8492,0.0,localized_contrast_change,0.4319,0.0,regional_rainfall_change,1.6101,0.0,INSUFFICIENT,False,False,False,False,False
HYP-051,localized_intensification_verification,SUPPORTED,INSUFFICIENT,"{'subcategory': 'localized_intensification_verification', 'thresholds': {'support_regional_change_q60': 0.0858, 'refute_regional_change_q25': -0.1941, 'support_contrast_change_q75': 0.1268, 'refute_contrast_change_q25': -0.1287, 'support_rainfall_change_q60': 0.2062, 'refute_rainfall_change_q25': -0.4409}}",regional_abs_anomaly_change,0.3531,0.0,localized_contrast_change,0.1389,0.0,regional_rainfall_change,0.3938,0.0,INSUFFICIENT,False,False,False,False,False
HYP-052,localized_intensification_verification,SUPPORTED,INSUFFICIENT,"{'subcategory': 'localized_intensification_verification', 'thresholds': {'support_regional_change_q60': 0.0858, 'refute_regional_change_q25': -0.1941, 'support_contrast_change_q75': 0.1268, 'refute_contrast_change_q25': -0.1287, 'support_rainfall_change_q60': 0.2062, 'refute_rainfall_change_q25': -0.4409}}",regional_abs_anomaly_change,0.5673,0.0,localized_contrast_change,0.319,0.0,regional_rainfall_change,0.513,0.0,INSUFFICIENT,False,False,False,False,False
HYP-053,localized_intensification_verification,SUPPORTED,INSUFFICIENT,"{'subcategory': 'localized_intensification_verification', 'thresholds': {'support_regional_change_q60': 0.0858, 'refute_regional_change_q25': -0.1941, 'support_contrast_change_q75': 0.1268, 'refute_contrast_change_q25': -0.1287, 'support_rainfall_change_q60': 0.2062, 'refute_rainfall_change_q25': -0.4409}}",regional_abs_anomaly_change,0.3645,0.0,localized_contrast_change,0.1913,0.0,regional_rainfall_change,0.6594,0.0,INSUFFICIENT,False,False,False,False,False
