id,subcategory,GT_Decision,Pred_Decision,protocol,Metric_Name1,GT_Metric1,Pred_Metric1,Metric_Name2,GT_Metric2,Pred_Metric2,Metric_Name3,GT_Metric3,Pred_Metric3,RecoveredDecision,Decision_Correct
HYP-011,persistent_regional_anomaly_verification,SUPPORTED,SUPPORTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7896, 'refute_mean_abs_p50': 0.4256, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,1.0972,1.0972,min_fraction_cells_above_p75,0.4444,0.4444,min_yearly_mean_completeness,1.0,1.0,SUPPORTED,True
HYP-012,persistent_regional_anomaly_verification,SUPPORTED,SUPPORTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7226, 'refute_mean_abs_p50': 0.3832, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.8655,0.8655,min_fraction_cells_above_p75,0.4444,0.4444,min_yearly_mean_completeness,1.0,1.0,SUPPORTED,True
HYP-013,persistent_regional_anomaly_verification,SUPPORTED,SUPPORTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.744, 'refute_mean_abs_p50': 0.3916, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.7658,0.7658,min_fraction_cells_above_p75,0.7778,0.7778,min_yearly_mean_completeness,1.0,1.0,SUPPORTED,True
HYP-014,persistent_regional_anomaly_verification,REFUTED,REFUTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7459, 'refute_mean_abs_p50': 0.402, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.1953,0.1953,min_fraction_cells_above_p75,0.0,0.0,min_yearly_mean_completeness,1.0,1.0,REFUTED,True
HYP-015,persistent_regional_anomaly_verification,REFUTED,REFUTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.744, 'refute_mean_abs_p50': 0.3916, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.3021,0.3021,min_fraction_cells_above_p75,0.0,0.0,min_yearly_mean_completeness,1.0,1.0,REFUTED,True
HYP-016,persistent_regional_anomaly_verification,REFUTED,REFUTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7459, 'refute_mean_abs_p50': 0.402, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.3525,0.3525,min_fraction_cells_above_p75,0.1111,0.1111,min_yearly_mean_completeness,1.0,1.0,REFUTED,True
HYP-017,persistent_regional_anomaly_verification,REFUTED,REFUTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7763, 'refute_mean_abs_p50': 0.4078, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.2328,0.2328,min_fraction_cells_above_p75,0.0,0.0,min_yearly_mean_completeness,1.0,1.0,REFUTED,True
HYP-018,persistent_regional_anomaly_verification,REFUTED,REFUTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7459, 'refute_mean_abs_p50': 0.402, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.3349,0.3349,min_fraction_cells_above_p75,0.0,0.0,min_yearly_mean_completeness,1.0,1.0,REFUTED,True
HYP-019,persistent_regional_anomaly_verification,REFUTED,REFUTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7226, 'refute_mean_abs_p50': 0.3832, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.1776,0.1776,min_fraction_cells_above_p75,0.0,0.0,min_yearly_mean_completeness,1.0,1.0,REFUTED,True
HYP-020,persistent_regional_anomaly_verification,REFUTED,REFUTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7763, 'refute_mean_abs_p50': 0.4078, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.1712,0.1712,min_fraction_cells_above_p75,0.0,0.0,min_yearly_mean_completeness,1.0,1.0,REFUTED,True
HYP-021,persistent_regional_anomaly_verification,REFUTED,REFUTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7226, 'refute_mean_abs_p50': 0.3832, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.1445,0.1445,min_fraction_cells_above_p75,0.0,0.0,min_yearly_mean_completeness,1.0,1.0,REFUTED,True
HYP-022,persistent_regional_anomaly_verification,REFUTED,REFUTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7763, 'refute_mean_abs_p50': 0.4078, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.1321,0.1321,min_fraction_cells_above_p75,0.0,0.0,min_yearly_mean_completeness,1.0,1.0,REFUTED,True
HYP-023,persistent_regional_anomaly_verification,REFUTED,REFUTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7226, 'refute_mean_abs_p50': 0.3832, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.1695,0.1695,min_fraction_cells_above_p75,0.0,0.0,min_yearly_mean_completeness,1.0,1.0,REFUTED,True
HYP-024,persistent_regional_anomaly_verification,REFUTED,REFUTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7763, 'refute_mean_abs_p50': 0.4078, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.2083,0.2083,min_fraction_cells_above_p75,0.0,0.0,min_yearly_mean_completeness,1.0,1.0,REFUTED,True
HYP-025,persistent_regional_anomaly_verification,REFUTED,REFUTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7226, 'refute_mean_abs_p50': 0.3832, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.3636,0.3636,min_fraction_cells_above_p75,0.1111,0.1111,min_yearly_mean_completeness,1.0,1.0,REFUTED,True
HYP-026,persistent_regional_anomaly_verification,REFUTED,REFUTED,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7226, 'refute_mean_abs_p50': 0.3832, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.1962,0.1962,min_fraction_cells_above_p75,0.0,0.0,min_yearly_mean_completeness,1.0,1.0,REFUTED,True
HYP-027,persistent_regional_anomaly_verification,INSUFFICIENT,INSUFFICIENT,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7226, 'refute_mean_abs_p50': 0.3832, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.7209,0.7209,min_fraction_cells_above_p75,0.4444,0.4444,min_yearly_mean_completeness,1.0,1.0,INSUFFICIENT,True
HYP-028,persistent_regional_anomaly_verification,INSUFFICIENT,INSUFFICIENT,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7226, 'refute_mean_abs_p50': 0.3832, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.5149,0.5149,min_fraction_cells_above_p75,0.3333,0.3333,min_yearly_mean_completeness,1.0,1.0,INSUFFICIENT,True
HYP-029,persistent_regional_anomaly_verification,INSUFFICIENT,INSUFFICIENT,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7763, 'refute_mean_abs_p50': 0.4078, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.5112,0.5112,min_fraction_cells_above_p75,0.1111,0.1111,min_yearly_mean_completeness,1.0,1.0,INSUFFICIENT,True
HYP-030,persistent_regional_anomaly_verification,INSUFFICIENT,INSUFFICIENT,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7459, 'refute_mean_abs_p50': 0.402, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.4902,0.4902,min_fraction_cells_above_p75,0.1111,0.1111,min_yearly_mean_completeness,1.0,1.0,INSUFFICIENT,True
HYP-031,persistent_regional_anomaly_verification,INSUFFICIENT,INSUFFICIENT,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7226, 'refute_mean_abs_p50': 0.3832, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.4137,0.4137,min_fraction_cells_above_p75,0.1111,0.1111,min_yearly_mean_completeness,1.0,1.0,INSUFFICIENT,True
HYP-032,persistent_regional_anomaly_verification,INSUFFICIENT,INSUFFICIENT,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7896, 'refute_mean_abs_p50': 0.4256, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.4958,0.4958,min_fraction_cells_above_p75,0.2222,0.2222,min_yearly_mean_completeness,1.0,1.0,INSUFFICIENT,True
HYP-033,persistent_regional_anomaly_verification,INSUFFICIENT,INSUFFICIENT,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7226, 'refute_mean_abs_p50': 0.3832, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.3983,0.3983,min_fraction_cells_above_p75,0.1111,0.1111,min_yearly_mean_completeness,1.0,1.0,INSUFFICIENT,True
HYP-034,persistent_regional_anomaly_verification,INSUFFICIENT,INSUFFICIENT,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7226, 'refute_mean_abs_p50': 0.3832, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.4591,0.4591,min_fraction_cells_above_p75,0.2222,0.2222,min_yearly_mean_completeness,1.0,1.0,INSUFFICIENT,True
HYP-035,persistent_regional_anomaly_verification,INSUFFICIENT,INSUFFICIENT,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7226, 'refute_mean_abs_p50': 0.3832, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.3877,0.3877,min_fraction_cells_above_p75,0.1111,0.1111,min_yearly_mean_completeness,1.0,1.0,INSUFFICIENT,True
HYP-036,persistent_regional_anomaly_verification,INSUFFICIENT,INSUFFICIENT,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7226, 'refute_mean_abs_p50': 0.3832, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.8806,0.8806,min_fraction_cells_above_p75,0.2222,0.2222,min_yearly_mean_completeness,1.0,1.0,INSUFFICIENT,True
HYP-037,persistent_regional_anomaly_verification,INSUFFICIENT,INSUFFICIENT,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7763, 'refute_mean_abs_p50': 0.4078, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.4648,0.4648,min_fraction_cells_above_p75,0.3333,0.3333,min_yearly_mean_completeness,1.0,1.0,INSUFFICIENT,True
HYP-038,persistent_regional_anomaly_verification,INSUFFICIENT,INSUFFICIENT,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7896, 'refute_mean_abs_p50': 0.4256, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.5642,0.5642,min_fraction_cells_above_p75,0.1111,0.1111,min_yearly_mean_completeness,1.0,1.0,INSUFFICIENT,True
HYP-039,persistent_regional_anomaly_verification,INSUFFICIENT,INSUFFICIENT,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7763, 'refute_mean_abs_p50': 0.4078, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.4631,0.4631,min_fraction_cells_above_p75,0.1111,0.1111,min_yearly_mean_completeness,1.0,1.0,INSUFFICIENT,True
HYP-040,persistent_regional_anomaly_verification,INSUFFICIENT,INSUFFICIENT,"{'subcategory': 'persistent_regional_anomaly_verification', 'thresholds': {'support_mean_abs_p75': 0.7459, 'refute_mean_abs_p50': 0.402, 'support_fraction_above_p75': 0.25, 'refute_fraction_above_p75': 0.0, 'support_completeness_p10': 1.0}}",min_yearly_mean_abs_anomaly,0.4907,0.4907,min_fraction_cells_above_p75,0.1111,0.1111,min_yearly_mean_completeness,1.0,1.0,INSUFFICIENT,True
HYP-041,localized_intensification_verification,SUPPORTED,SUPPORTED,"{'subcategory': 'localized_intensification_verification', 'thresholds': {'support_regional_change_q60': 0.0858, 'refute_regional_change_q25': -0.1941, 'support_contrast_change_q75': 0.1268, 'refute_contrast_change_q25': -0.1287, 'support_rainfall_change_q60': 0.2062, 'refute_rainfall_change_q25': -0.4409}}",regional_abs_anomaly_change,0.8476,0.8476,localized_contrast_change,0.4388,0.4388,regional_rainfall_change,1.9395,1.9395,SUPPORTED,True
HYP-042,localized_intensification_verification,SUPPORTED,SUPPORTED,"{'subcategory': 'localized_intensification_verification', 'thresholds': {'support_regional_change_q60': 0.0858, 'refute_regional_change_q25': -0.1941, 'support_contrast_change_q75': 0.1268, 'refute_contrast_change_q25': -0.1287, 'support_rainfall_change_q60': 0.2062, 'refute_rainfall_change_q25': -0.4409}}",regional_abs_anomaly_change,0.0936,0.0936,localized_contrast_change,0.2592,0.2593,regional_rainfall_change,0.3405,0.3405,SUPPORTED,True
HYP-043,localized_intensification_verification,SUPPORTED,SUPPORTED,"{'subcategory': 'localized_intensification_verification', 'thresholds': {'support_regional_change_q60': 0.0858, 'refute_regional_change_q25': -0.1941, 'support_contrast_change_q75': 0.1268, 'refute_contrast_change_q25': -0.1287, 'support_rainfall_change_q60': 0.2062, 'refute_rainfall_change_q25': -0.4409}}",regional_abs_anomaly_change,0.2429,0.2429,localized_contrast_change,0.1935,0.1935,regional_rainfall_change,0.4704,0.4704,SUPPORTED,True
HYP-044,localized_intensification_verification,SUPPORTED,SUPPORTED,"{'subcategory': 'localized_intensification_verification', 'thresholds': {'support_regional_change_q60': 0.0858, 'refute_regional_change_q25': -0.1941, 'support_contrast_change_q75': 0.1268, 'refute_contrast_change_q25': -0.1287, 'support_rainfall_change_q60': 0.2062, 'refute_rainfall_change_q25': -0.4409}}",regional_abs_anomaly_change,1.2485,1.2485,localized_contrast_change,0.391,0.391,regional_rainfall_change,2.5151,2.5151,SUPPORTED,True
HYP-045,localized_intensification_verification,SUPPORTED,SUPPORTED,"{'subcategory': 'localized_intensification_verification', 'thresholds': {'support_regional_change_q60': 0.0858, 'refute_regional_change_q25': -0.1941, 'support_contrast_change_q75': 0.1268, 'refute_contrast_change_q25': -0.1287, 'support_rainfall_change_q60': 0.2062, 'refute_rainfall_change_q25': -0.4409}}",regional_abs_anomaly_change,0.1536,0.1536,localized_contrast_change,0.1522,0.1522,regional_rainfall_change,0.6319,0.6319,SUPPORTED,True
HYP-046,localized_intensification_verification,SUPPORTED,SUPPORTED,"{'subcategory': 'localized_intensification_verification', 'thresholds': {'support_regional_change_q60': 0.0858, 'refute_regional_change_q25': -0.1941, 'support_contrast_change_q75': 0.1268, 'refute_contrast_change_q25': -0.1287, 'support_rainfall_change_q60': 0.2062, 'refute_rainfall_change_q25': -0.4409}}",regional_abs_anomaly_change,0.6393,0.6393,localized_contrast_change,0.2146,0.2146,regional_rainfall_change,0.6393,0.6393,SUPPORTED,True
HYP-047,localized_intensification_verification,SUPPORTED,SUPPORTED,"{'subcategory': 'localized_intensification_verification', 'thresholds': {'support_regional_change_q60': 0.0858, 'refute_regional_change_q25': -0.1941, 'support_contrast_change_q75': 0.1268, 'refute_contrast_change_q25': -0.1287, 'support_rainfall_change_q60': 0.2062, 'refute_rainfall_change_q25': -0.4409}}",regional_abs_anomaly_change,0.71,0.71,localized_contrast_change,0.3229,0.3229,regional_rainfall_change,0.8739,0.8739,SUPPORTED,True
HYP-048,localized_intensification_verification,SUPPORTED,SUPPORTED,"{'subcategory': 'localized_intensification_verification', 'thresholds': {'support_regional_change_q60': 0.0858, 'refute_regional_change_q25': -0.1941, 'support_contrast_change_q75': 0.1268, 'refute_contrast_change_q25': -0.1287, 'support_rainfall_change_q60': 0.2062, 'refute_rainfall_change_q25': -0.4409}}",regional_abs_anomaly_change,0.5113,0.5113,localized_contrast_change,0.1598,0.1598,regional_rainfall_change,0.8767,0.8767,SUPPORTED,True
HYP-049,localized_intensification_verification,SUPPORTED,SUPPORTED,"{'subcategory': 'localized_intensification_verification', 'thresholds': {'support_regional_change_q60': 0.0858, 'refute_regional_change_q25': -0.1941, 'support_contrast_change_q75': 0.1268, 'refute_contrast_change_q25': -0.1287, 'support_rainfall_change_q60': 0.2062, 'refute_rainfall_change_q25': -0.4409}}",regional_abs_anomaly_change,0.4475,0.4475,localized_contrast_change,0.2384,0.2384,regional_rainfall_change,0.8936,0.8936,SUPPORTED,True
HYP-050,localized_intensification_verification,SUPPORTED,SUPPORTED,"{'subcategory': 'localized_intensification_verification', 'thresholds': {'support_regional_change_q60': 0.0858, 'refute_regional_change_q25': -0.1941, 'support_contrast_change_q75': 0.1268, 'refute_contrast_change_q25': -0.1287, 'support_rainfall_change_q60': 0.2062, 'refute_rainfall_change_q25': -0.4409}}",regional_abs_anomaly_change,0.8492,0.8492,localized_contrast_change,0.4319,0.4319,regional_rainfall_change,1.6101,1.6101,SUPPORTED,True
HYP-051,localized_intensification_verification,SUPPORTED,SUPPORTED,"{'subcategory': 'localized_intensification_verification', 'thresholds': {'support_regional_change_q60': 0.0858, 'refute_regional_change_q25': -0.1941, 'support_contrast_change_q75': 0.1268, 'refute_contrast_change_q25': -0.1287, 'support_rainfall_change_q60': 0.2062, 'refute_rainfall_change_q25': -0.4409}}",regional_abs_anomaly_change,0.3531,0.3531,localized_contrast_change,0.1389,0.1389,regional_rainfall_change,0.3938,0.3938,SUPPORTED,True
HYP-052,localized_intensification_verification,SUPPORTED,SUPPORTED,"{'subcategory': 'localized_intensification_verification', 'thresholds': {'support_regional_change_q60': 0.0858, 'refute_regional_change_q25': -0.1941, 'support_contrast_change_q75': 0.1268, 'refute_contrast_change_q25': -0.1287, 'support_rainfall_change_q60': 0.2062, 'refute_rainfall_change_q25': -0.4409}}",regional_abs_anomaly_change,0.5673,0.5673,localized_contrast_change,0.319,0.3189,regional_rainfall_change,0.513,0.513,SUPPORTED,True
HYP-053,localized_intensification_verification,SUPPORTED,SUPPORTED,"{'subcategory': 'localized_intensification_verification', 'thresholds': {'support_regional_change_q60': 0.0858, 'refute_regional_change_q25': -0.1941, 'support_contrast_change_q75': 0.1268, 'refute_contrast_change_q25': -0.1287, 'support_rainfall_change_q60': 0.2062, 'refute_rainfall_change_q25': -0.4409}}",regional_abs_anomaly_change,0.3645,0.3645,localized_contrast_change,0.1913,0.1913,regional_rainfall_change,0.6594,0.6594,SUPPORTED,True
HYP-054,localized_intensification_verification,REFUTED,REFUTED,"{'subcategory': 'localized_intensification_verification', 'thresholds': {'support_regional_change_q60': 0.0858, 'refute_regional_change_q25': -0.1941, 'support_contrast_change_q75': 0.1268, 'refute_contrast_change_q25': -0.1287, 'support_rainfall_change_q60': 0.2062, 'refute_rainfall_change_q25': -0.4409}}",regional_abs_anomaly_change,-0.6032,-0.6032,localized_contrast_change,0.0738,0.0738,regional_rainfall_change,-0.7023,-0.7023,REFUTED,True
HYP-055,localized_intensification_verification,REFUTED,REFUTED,"{'subcategory': 'localized_intensification_verification', 'thresholds': {'support_regional_change_q60': 0.0858, 'refute_regional_change_q25': -0.1941, 'support_contrast_change_q75': 0.1268, 'refute_contrast_change_q25': -0.1287, 'support_rainfall_change_q60': 0.2062, 'refute_rainfall_change_q25': -0.4409}}",regional_abs_anomaly_change,-0.1167,-0.1167,localized_contrast_change,-0.1446,-0.1446,regional_rainfall_change,0.7049,0.7049,REFUTED,True
HYP-056,localized_intensification_verification,REFUTED,REFUTED,"{'subcategory': 'localized_intensification_verification', 'thresholds': {'support_regional_change_q60': 0.0858, 'refute_regional_change_q25': -0.1941, 'support_contrast_change_q75': 0.1268, 'refute_contrast_change_q25': -0.1287, 'support_rainfall_change_q60': 0.2062, 'refute_rainfall_change_q25': -0.4409}}",regional_abs_anomaly_change,0.247,0.247,localized_contrast_change,-0.0172,-0.0173,regional_rainfall_change,-1.9459,-1.9459,REFUTED,True
