model,question_id,status_base,propagated,condition,endpoint
gpt,HYP-074,absorbed,0,0,baseline_vs_toward
gpt,HYP-075,absorbed,0,0,baseline_vs_toward
gpt,HYP-076,absorbed,0,0,baseline_vs_toward
gpt,HYP-077,absorbed,0,0,baseline_vs_toward
gpt,HYP-078,absorbed,0,0,baseline_vs_toward
gpt,HYP-079,absorbed,0,0,baseline_vs_toward
gpt,HYP-080,propagated,1,0,baseline_vs_toward
gpt,HYP-081,propagated,1,0,baseline_vs_toward
gpt,HYP-082,propagated,1,0,baseline_vs_toward
gpt,HYP-083,propagated,1,0,baseline_vs_toward
gpt,HYP-084,propagated,1,0,baseline_vs_toward
gpt,HYP-085,propagated,1,0,baseline_vs_toward
gpt,HYP-086,propagated,1,0,baseline_vs_toward
gpt,HYP-087,propagated,1,0,baseline_vs_toward
gpt,HYP-088,propagated,1,0,baseline_vs_toward
gpt,HYP-089,propagated,1,0,baseline_vs_toward
gpt,HYP-090,propagated,1,0,baseline_vs_toward
gpt,HYP-091,propagated,1,0,baseline_vs_toward
gpt,HYP-092,propagated,1,0,baseline_vs_toward
gpt,HYP-093,propagated,1,0,baseline_vs_toward
gpt,HYP-094,propagated,1,0,baseline_vs_toward
gpt,HYP-095,propagated,1,0,baseline_vs_toward
gpt,HYP-096,propagated,1,0,baseline_vs_toward
gpt,HYP-097,propagated,1,0,baseline_vs_toward
gpt,HYP-098,propagated,1,0,baseline_vs_toward
gpt,HYP-099,propagated,1,0,baseline_vs_toward
gpt,HYP-100,propagated,1,0,baseline_vs_toward
gpt,HYP-101,propagated,1,0,baseline_vs_toward
gpt,HYP-102,propagated,1,0,baseline_vs_toward
gpt,HYP-103,propagated,1,0,baseline_vs_toward
gpt,HYP-104,propagated,1,0,baseline_vs_toward
gpt,HYP-105,propagated,1,0,baseline_vs_toward
gpt,HYP-106,propagated,1,0,baseline_vs_toward
gpt,HYP-107,absorbed,0,0,baseline_vs_toward
gpt,HYP-108,absorbed,0,0,baseline_vs_toward
gpt,HYP-109,absorbed,0,0,baseline_vs_toward
gpt,HYP-110,absorbed,0,0,baseline_vs_toward
gpt,HYP-111,absorbed,0,0,baseline_vs_toward
gpt,HYP-112,absorbed,0,0,baseline_vs_toward
gpt,HYP-113,absorbed,0,0,baseline_vs_toward
gpt,HYP-114,absorbed,0,0,baseline_vs_toward
gpt,HYP-115,absorbed,0,0,baseline_vs_toward
gpt,HYP-116,absorbed,0,0,baseline_vs_toward
gpt,HYP-117,absorbed,0,0,baseline_vs_toward
gpt,HYP-118,absorbed,0,0,baseline_vs_toward
gpt,HYP-119,absorbed,0,0,baseline_vs_toward
gpt,HYP-120,absorbed,0,0,baseline_vs_toward
gpt,HYP-121,propagated,1,0,baseline_vs_toward
gpt,HYP-122,propagated,1,0,baseline_vs_toward
gpt,HYP-123,propagated,1,0,baseline_vs_toward
gpt,HYP-124,propagated,1,0,baseline_vs_toward
gpt,HYP-125,propagated,1,0,baseline_vs_toward
gpt,HYP-126,propagated,1,0,baseline_vs_toward
gpt,HYP-127,propagated,1,0,baseline_vs_toward
gpt,HYP-128,propagated,1,0,baseline_vs_toward
gpt,HYP-129,propagated,1,0,baseline_vs_toward
gpt,HYP-130,propagated,1,0,baseline_vs_toward
gpt,HYP-131,propagated,1,0,baseline_vs_toward
gpt,HYP-132,propagated,1,0,baseline_vs_toward
gpt,HYP-133,propagated,1,0,baseline_vs_toward
gpt,HYP-134,propagated,1,0,baseline_vs_toward
gpt,HYP-135,propagated,1,0,baseline_vs_toward
gpt,HYP-136,propagated,1,0,baseline_vs_toward
gpt,HYP-137,propagated,1,0,baseline_vs_toward
gpt,HYP-138,propagated,1,0,baseline_vs_toward
gpt,HYP-139,propagated,1,0,baseline_vs_toward
gpt,HYP-140,propagated,1,0,baseline_vs_toward
gpt,HYP-141,propagated,1,0,baseline_vs_toward
gpt,HYP-142,propagated,1,0,baseline_vs_toward
gpt,HYP-143,propagated,1,0,baseline_vs_toward
gpt,HYP-144,propagated,1,0,baseline_vs_toward
gpt,HYP-145,propagated,1,0,baseline_vs_toward
gpt,HYP-146,propagated,1,0,baseline_vs_toward
gpt,HYP-147,absorbed,0,0,baseline_vs_toward
gpt,HYP-148,absorbed,0,0,baseline_vs_toward
gpt,HYP-149,absorbed,0,0,baseline_vs_toward
gpt,HYP-150,absorbed,0,0,baseline_vs_toward
gpt,HYP-151,absorbed,0,0,baseline_vs_toward
gpt,HYP-152,absorbed,0,0,baseline_vs_toward
gpt,HYP-153,absorbed,0,0,baseline_vs_toward
gpt,HYP-154,absorbed,0,0,baseline_vs_toward
gpt,HYP-155,absorbed,0,0,baseline_vs_toward
gpt,HYP-156,absorbed,0,0,baseline_vs_toward
gpt,HYP-157,absorbed,0,0,baseline_vs_toward
gpt,HYP-158,absorbed,0,0,baseline_vs_toward
gpt,HYP-159,absorbed,0,0,baseline_vs_toward
gpt,HYP-160,absorbed,0,0,baseline_vs_toward
gpt,HYP-161,propagated,1,0,baseline_vs_toward
gpt,HYP-162,propagated,1,0,baseline_vs_toward
gpt,HYP-163,propagated,1,0,baseline_vs_toward
gpt,HYP-164,propagated,1,0,baseline_vs_toward
gpt,HYP-165,propagated,1,0,baseline_vs_toward
gpt,HYP-166,propagated,1,0,baseline_vs_toward
gpt,HYP-167,propagated,1,0,baseline_vs_toward
gpt,HYP-168,propagated,1,0,baseline_vs_toward
gpt,HYP-169,propagated,1,0,baseline_vs_toward
gpt,HYP-170,propagated,1,0,baseline_vs_toward
gpt,HYP-171,propagated,1,0,baseline_vs_toward
gpt,HYP-172,propagated,1,0,baseline_vs_toward
gpt,HYP-173,propagated,1,0,baseline_vs_toward
gpt,HYP-175,absorbed,0,0,baseline_vs_toward
gpt,HYP-179,absorbed,0,0,baseline_vs_toward
gpt,HYP-186,absorbed,0,0,baseline_vs_toward
gpt,HYP-187,propagated,1,0,baseline_vs_toward
gpt,HYP-188,propagated,1,0,baseline_vs_toward
gpt,HYP-189,propagated,1,0,baseline_vs_toward
gpt,HYP-190,propagated,1,0,baseline_vs_toward
gpt,HYP-191,propagated,1,0,baseline_vs_toward
gpt,HYP-192,propagated,1,0,baseline_vs_toward
gpt,HYP-193,propagated,1,0,baseline_vs_toward
gpt,HYP-194,propagated,1,0,baseline_vs_toward
gpt,HYP-195,propagated,1,0,baseline_vs_toward
gpt,HYP-196,propagated,1,0,baseline_vs_toward
gpt,HYP-197,propagated,1,0,baseline_vs_toward
gpt,HYP-198,propagated,1,0,baseline_vs_toward
gpt,HYP-199,propagated,1,0,baseline_vs_toward
gpt,HYP-200,propagated,1,0,baseline_vs_toward
gpt,HYP-201,propagated,1,0,baseline_vs_toward
gpt,HYP-202,propagated,1,0,baseline_vs_toward
gpt,HYP-203,propagated,1,0,baseline_vs_toward
gpt,HYP-204,propagated,1,0,baseline_vs_toward
gpt,HYP-205,propagated,1,0,baseline_vs_toward
gpt,HYP-206,propagated,1,0,baseline_vs_toward
gpt,HYP-207,propagated,1,0,baseline_vs_toward
gpt,HYP-208,propagated,1,0,baseline_vs_toward
gpt,HYP-209,propagated,1,0,baseline_vs_toward
gpt,HYP-210,propagated,1,0,baseline_vs_toward
gpt,HYP-211,propagated,1,0,baseline_vs_toward
gpt,HYP-212,propagated,1,0,baseline_vs_toward
gpt,HYP-213,propagated,1,0,baseline_vs_toward
gpt,HYP-214,absorbed,0,0,baseline_vs_toward
gpt,HYP-215,absorbed,0,0,baseline_vs_toward
gpt,HYP-216,absorbed,0,0,baseline_vs_toward
gpt,HYP-217,absorbed,0,0,baseline_vs_toward
gpt,HYP-218,absorbed,0,0,baseline_vs_toward
gpt,HYP-219,absorbed,0,0,baseline_vs_toward
gpt,HYP-220,absorbed,0,0,baseline_vs_toward
gpt,HYP-221,absorbed,0,0,baseline_vs_toward
gpt,HYP-222,absorbed,0,0,baseline_vs_toward
gpt,HYP-223,absorbed,0,0,baseline_vs_toward
gpt,HYP-224,absorbed,0,0,baseline_vs_toward
gpt,HYP-225,absorbed,0,0,baseline_vs_toward
gpt,HYP-226,absorbed,0,0,baseline_vs_toward
gpt,HYP-227,propagated,1,0,baseline_vs_toward
gpt,HYP-228,propagated,1,0,baseline_vs_toward
gpt,HYP-229,propagated,1,0,baseline_vs_toward
gpt,HYP-230,propagated,1,0,baseline_vs_toward
gpt,HYP-231,propagated,1,0,baseline_vs_toward
gpt,HYP-232,propagated,1,0,baseline_vs_toward
gpt,HYP-233,propagated,1,0,baseline_vs_toward
gpt,HYP-234,propagated,1,0,baseline_vs_toward
gpt,HYP-235,propagated,1,0,baseline_vs_toward
gpt,HYP-236,propagated,1,0,baseline_vs_toward
gpt,HYP-237,propagated,1,0,baseline_vs_toward
gpt,HYP-238,propagated,1,0,baseline_vs_toward
gpt,HYP-239,propagated,1,0,baseline_vs_toward
gpt,HYP-240,propagated,1,0,baseline_vs_toward
claude,HYP-175,,0,1,baseline_vs_toward
deepseek,HYP-001,,0,1,baseline_vs_toward
deepseek,HYP-002,,0,1,baseline_vs_toward
deepseek,HYP-003,,0,1,baseline_vs_toward
deepseek,HYP-185,,0,1,baseline_vs_toward
deepseek,HYP-186,,0,1,baseline_vs_toward
deepseek,HYP-187,,1,1,baseline_vs_toward
deepseek,HYP-188,,0,1,baseline_vs_toward
deepseek,HYP-189,,1,1,baseline_vs_toward
deepseek,HYP-190,,1,1,baseline_vs_toward
deepseek,HYP-193,,1,1,baseline_vs_toward
deepseek,HYP-194,,1,1,baseline_vs_toward
deepseek,HYP-197,,0,1,baseline_vs_toward
deepseek,HYP-198,,1,1,baseline_vs_toward
deepseek,HYP-199,,1,1,baseline_vs_toward
gpt,HYP-001,,1,1,baseline_vs_toward
gpt,HYP-002,,1,1,baseline_vs_toward
gpt,HYP-003,,0,1,baseline_vs_toward
gpt,HYP-004,,1,1,baseline_vs_toward
gpt,HYP-005,,0,1,baseline_vs_toward
gpt,HYP-006,,1,1,baseline_vs_toward
gpt,HYP-007,,0,1,baseline_vs_toward
gpt,HYP-008,,1,1,baseline_vs_toward
gpt,HYP-009,,1,1,baseline_vs_toward
gpt,HYP-010,,0,1,baseline_vs_toward
gpt,HYP-011,,1,1,baseline_vs_toward
gpt,HYP-012,,0,1,baseline_vs_toward
gpt,HYP-013,,1,1,baseline_vs_toward
gpt,HYP-014,,1,1,baseline_vs_toward
gpt,HYP-015,,0,1,baseline_vs_toward
gpt,HYP-016,,0,1,baseline_vs_toward
gpt,HYP-017,,1,1,baseline_vs_toward
gpt,HYP-018,,0,1,baseline_vs_toward
gpt,HYP-019,,0,1,baseline_vs_toward
gpt,HYP-020,,0,1,baseline_vs_toward
gpt,HYP-021,,0,1,baseline_vs_toward
gpt,HYP-022,,0,1,baseline_vs_toward
gpt,HYP-023,,0,1,baseline_vs_toward
gpt,HYP-024,,0,1,baseline_vs_toward
gpt,HYP-025,,0,1,baseline_vs_toward
gpt,HYP-026,,1,1,baseline_vs_toward
gpt,HYP-027,,1,1,baseline_vs_toward
gpt,HYP-028,,1,1,baseline_vs_toward
gpt,HYP-029,,1,1,baseline_vs_toward
gpt,HYP-030,,0,1,baseline_vs_toward
gpt,HYP-031,,0,1,baseline_vs_toward
gpt,HYP-032,,1,1,baseline_vs_toward
gpt,HYP-033,,1,1,baseline_vs_toward
gpt,HYP-034,,1,1,baseline_vs_toward
gpt,HYP-035,,1,1,baseline_vs_toward
gpt,HYP-036,,1,1,baseline_vs_toward
gpt,HYP-037,,1,1,baseline_vs_toward
gpt,HYP-038,,1,1,baseline_vs_toward
gpt,HYP-039,,0,1,baseline_vs_toward
gpt,HYP-040,,1,1,baseline_vs_toward
gpt,HYP-041,,1,1,baseline_vs_toward
gpt,HYP-042,,1,1,baseline_vs_toward
gpt,HYP-043,,1,1,baseline_vs_toward
gpt,HYP-044,,1,1,baseline_vs_toward
gpt,HYP-045,,1,1,baseline_vs_toward
gpt,HYP-046,,1,1,baseline_vs_toward
gpt,HYP-047,,1,1,baseline_vs_toward
gpt,HYP-048,,1,1,baseline_vs_toward
gpt,HYP-049,,1,1,baseline_vs_toward
gpt,HYP-050,,1,1,baseline_vs_toward
gpt,HYP-051,,1,1,baseline_vs_toward
gpt,HYP-052,,1,1,baseline_vs_toward
gpt,HYP-053,,1,1,baseline_vs_toward
gpt,HYP-054,,0,1,baseline_vs_toward
gpt,HYP-055,,0,1,baseline_vs_toward
gpt,HYP-056,,0,1,baseline_vs_toward
gpt,HYP-057,,1,1,baseline_vs_toward
gpt,HYP-058,,0,1,baseline_vs_toward
gpt,HYP-059,,0,1,baseline_vs_toward
gpt,HYP-060,,1,1,baseline_vs_toward
gpt,HYP-061,,0,1,baseline_vs_toward
gpt,HYP-062,,0,1,baseline_vs_toward
gpt,HYP-063,,0,1,baseline_vs_toward
gpt,HYP-064,,0,1,baseline_vs_toward
gpt,HYP-065,,0,1,baseline_vs_toward
gpt,HYP-066,,1,1,baseline_vs_toward
gpt,HYP-067,,1,1,baseline_vs_toward
gpt,HYP-068,,1,1,baseline_vs_toward
gpt,HYP-069,,1,1,baseline_vs_toward
gpt,HYP-070,,1,1,baseline_vs_toward
gpt,HYP-071,,1,1,baseline_vs_toward
gpt,HYP-072,,1,1,baseline_vs_toward
gpt,HYP-073,,1,1,baseline_vs_toward
gpt,HYP-074,,1,1,baseline_vs_toward
gpt,HYP-075,,1,1,baseline_vs_toward
gpt,HYP-076,,1,1,baseline_vs_toward
gpt,HYP-077,,1,1,baseline_vs_toward
gpt,HYP-078,,1,1,baseline_vs_toward
gpt,HYP-079,,1,1,baseline_vs_toward
gpt,HYP-080,,0,1,baseline_vs_toward
gpt,HYP-081,,1,1,baseline_vs_toward
gpt,HYP-082,,1,1,baseline_vs_toward
gpt,HYP-083,,1,1,baseline_vs_toward
gpt,HYP-084,,1,1,baseline_vs_toward
gpt,HYP-085,,1,1,baseline_vs_toward
gpt,HYP-086,,1,1,baseline_vs_toward
gpt,HYP-087,,1,1,baseline_vs_toward
gpt,HYP-088,,1,1,baseline_vs_toward
gpt,HYP-089,,1,1,baseline_vs_toward
gpt,HYP-090,,1,1,baseline_vs_toward
gpt,HYP-091,,1,1,baseline_vs_toward
gpt,HYP-092,,1,1,baseline_vs_toward
gpt,HYP-093,,1,1,baseline_vs_toward
gpt,HYP-094,,0,1,baseline_vs_toward
gpt,HYP-095,,0,1,baseline_vs_toward
gpt,HYP-096,,0,1,baseline_vs_toward
gpt,HYP-097,,0,1,baseline_vs_toward
gpt,HYP-098,,0,1,baseline_vs_toward
gpt,HYP-099,,0,1,baseline_vs_toward
gpt,HYP-100,,0,1,baseline_vs_toward
gpt,HYP-101,,0,1,baseline_vs_toward
gpt,HYP-102,,0,1,baseline_vs_toward
gpt,HYP-103,,0,1,baseline_vs_toward
gpt,HYP-104,,0,1,baseline_vs_toward
gpt,HYP-105,,0,1,baseline_vs_toward
gpt,HYP-106,,0,1,baseline_vs_toward
gpt,HYP-107,,1,1,baseline_vs_toward
gpt,HYP-108,,1,1,baseline_vs_toward
gpt,HYP-109,,1,1,baseline_vs_toward
gpt,HYP-110,,1,1,baseline_vs_toward
gpt,HYP-111,,1,1,baseline_vs_toward
gpt,HYP-112,,1,1,baseline_vs_toward
gpt,HYP-113,,1,1,baseline_vs_toward
gpt,HYP-114,,1,1,baseline_vs_toward
gpt,HYP-115,,1,1,baseline_vs_toward
gpt,HYP-116,,1,1,baseline_vs_toward
gpt,HYP-117,,1,1,baseline_vs_toward
gpt,HYP-118,,1,1,baseline_vs_toward
gpt,HYP-119,,1,1,baseline_vs_toward
gpt,HYP-120,,1,1,baseline_vs_toward
gpt,HYP-121,,1,1,baseline_vs_toward
gpt,HYP-122,,1,1,baseline_vs_toward
gpt,HYP-123,,1,1,baseline_vs_toward
gpt,HYP-124,,1,1,baseline_vs_toward
gpt,HYP-125,,1,1,baseline_vs_toward
gpt,HYP-126,,1,1,baseline_vs_toward
gpt,HYP-127,,1,1,baseline_vs_toward
gpt,HYP-128,,1,1,baseline_vs_toward
gpt,HYP-129,,1,1,baseline_vs_toward
gpt,HYP-130,,1,1,baseline_vs_toward
gpt,HYP-131,,1,1,baseline_vs_toward
gpt,HYP-132,,1,1,baseline_vs_toward
gpt,HYP-133,,1,1,baseline_vs_toward
gpt,HYP-134,,0,1,baseline_vs_toward
gpt,HYP-135,,0,1,baseline_vs_toward
gpt,HYP-136,,1,1,baseline_vs_toward
gpt,HYP-137,,0,1,baseline_vs_toward
gpt,HYP-138,,0,1,baseline_vs_toward
gpt,HYP-139,,0,1,baseline_vs_toward
gpt,HYP-140,,0,1,baseline_vs_toward
gpt,HYP-141,,0,1,baseline_vs_toward
gpt,HYP-142,,0,1,baseline_vs_toward
gpt,HYP-143,,0,1,baseline_vs_toward
gpt,HYP-144,,1,1,baseline_vs_toward
gpt,HYP-145,,1,1,baseline_vs_toward
gpt,HYP-146,,0,1,baseline_vs_toward
gpt,HYP-147,,1,1,baseline_vs_toward
gpt,HYP-148,,1,1,baseline_vs_toward
gpt,HYP-149,,1,1,baseline_vs_toward
gpt,HYP-150,,1,1,baseline_vs_toward
gpt,HYP-151,,1,1,baseline_vs_toward
gpt,HYP-152,,1,1,baseline_vs_toward
gpt,HYP-153,,1,1,baseline_vs_toward
gpt,HYP-154,,1,1,baseline_vs_toward
gpt,HYP-155,,1,1,baseline_vs_toward
gpt,HYP-156,,1,1,baseline_vs_toward
gpt,HYP-157,,1,1,baseline_vs_toward
gpt,HYP-158,,1,1,baseline_vs_toward
gpt,HYP-159,,1,1,baseline_vs_toward
gpt,HYP-160,,1,1,baseline_vs_toward
gpt,HYP-161,,1,1,baseline_vs_toward
gpt,HYP-162,,1,1,baseline_vs_toward
gpt,HYP-163,,1,1,baseline_vs_toward
gpt,HYP-164,,1,1,baseline_vs_toward
gpt,HYP-165,,1,1,baseline_vs_toward
gpt,HYP-166,,1,1,baseline_vs_toward
gpt,HYP-167,,1,1,baseline_vs_toward
gpt,HYP-168,,1,1,baseline_vs_toward
gpt,HYP-169,,1,1,baseline_vs_toward
gpt,HYP-170,,1,1,baseline_vs_toward
gpt,HYP-171,,1,1,baseline_vs_toward
gpt,HYP-172,,1,1,baseline_vs_toward
gpt,HYP-173,,1,1,baseline_vs_toward
gpt,HYP-175,,0,1,baseline_vs_toward
gpt,HYP-179,,0,1,baseline_vs_toward
gpt,HYP-186,,0,1,baseline_vs_toward
gpt,HYP-187,,1,1,baseline_vs_toward
gpt,HYP-188,,1,1,baseline_vs_toward
gpt,HYP-189,,1,1,baseline_vs_toward
gpt,HYP-190,,1,1,baseline_vs_toward
gpt,HYP-191,,1,1,baseline_vs_toward
gpt,HYP-192,,1,1,baseline_vs_toward
gpt,HYP-193,,1,1,baseline_vs_toward
gpt,HYP-194,,1,1,baseline_vs_toward
gpt,HYP-195,,1,1,baseline_vs_toward
gpt,HYP-196,,1,1,baseline_vs_toward
gpt,HYP-197,,1,1,baseline_vs_toward
gpt,HYP-198,,1,1,baseline_vs_toward
gpt,HYP-199,,1,1,baseline_vs_toward
gpt,HYP-200,,1,1,baseline_vs_toward
gpt,HYP-201,,1,1,baseline_vs_toward
gpt,HYP-202,,1,1,baseline_vs_toward
gpt,HYP-203,,1,1,baseline_vs_toward
gpt,HYP-204,,1,1,baseline_vs_toward
gpt,HYP-205,,1,1,baseline_vs_toward
gpt,HYP-206,,1,1,baseline_vs_toward
gpt,HYP-207,,1,1,baseline_vs_toward
gpt,HYP-208,,1,1,baseline_vs_toward
gpt,HYP-209,,1,1,baseline_vs_toward
gpt,HYP-210,,1,1,baseline_vs_toward
gpt,HYP-211,,1,1,baseline_vs_toward
gpt,HYP-212,,1,1,baseline_vs_toward
gpt,HYP-213,,1,1,baseline_vs_toward
gpt,HYP-214,,0,1,baseline_vs_toward
gpt,HYP-215,,0,1,baseline_vs_toward
gpt,HYP-216,,0,1,baseline_vs_toward
gpt,HYP-217,,0,1,baseline_vs_toward
gpt,HYP-218,,0,1,baseline_vs_toward
gpt,HYP-219,,0,1,baseline_vs_toward
gpt,HYP-220,,0,1,baseline_vs_toward
gpt,HYP-221,,0,1,baseline_vs_toward
gpt,HYP-222,,0,1,baseline_vs_toward
gpt,HYP-223,,0,1,baseline_vs_toward
gpt,HYP-224,,0,1,baseline_vs_toward
gpt,HYP-225,,0,1,baseline_vs_toward
gpt,HYP-226,,0,1,baseline_vs_toward
gpt,HYP-227,,1,1,baseline_vs_toward
gpt,HYP-228,,1,1,baseline_vs_toward
gpt,HYP-229,,1,1,baseline_vs_toward
gpt,HYP-230,,1,1,baseline_vs_toward
gpt,HYP-231,,1,1,baseline_vs_toward
gpt,HYP-232,,1,1,baseline_vs_toward
gpt,HYP-233,,1,1,baseline_vs_toward
gpt,HYP-234,,1,1,baseline_vs_toward
gpt,HYP-235,,1,1,baseline_vs_toward
gpt,HYP-236,,1,1,baseline_vs_toward
gpt,HYP-237,,1,1,baseline_vs_toward
gpt,HYP-238,,1,1,baseline_vs_toward
gpt,HYP-239,,1,1,baseline_vs_toward
gpt,HYP-240,,1,1,baseline_vs_toward
