model,question_id,propagated,condition,endpoint
gpt,HYP-026,1,1,away_vs_toward
gpt,HYP-027,1,1,away_vs_toward
gpt,HYP-028,1,1,away_vs_toward
gpt,HYP-029,1,1,away_vs_toward
gpt,HYP-030,0,1,away_vs_toward
gpt,HYP-031,0,1,away_vs_toward
gpt,HYP-032,1,1,away_vs_toward
gpt,HYP-033,1,1,away_vs_toward
gpt,HYP-034,1,1,away_vs_toward
gpt,HYP-035,1,1,away_vs_toward
gpt,HYP-036,1,1,away_vs_toward
gpt,HYP-037,1,1,away_vs_toward
gpt,HYP-038,1,1,away_vs_toward
gpt,HYP-039,0,1,away_vs_toward
gpt,HYP-040,1,1,away_vs_toward
gpt,HYP-041,1,1,away_vs_toward
gpt,HYP-042,1,1,away_vs_toward
gpt,HYP-043,1,1,away_vs_toward
gpt,HYP-044,1,1,away_vs_toward
gpt,HYP-045,1,1,away_vs_toward
gpt,HYP-046,1,1,away_vs_toward
gpt,HYP-047,1,1,away_vs_toward
gpt,HYP-048,1,1,away_vs_toward
gpt,HYP-049,1,1,away_vs_toward
gpt,HYP-050,1,1,away_vs_toward
gpt,HYP-051,1,1,away_vs_toward
gpt,HYP-052,1,1,away_vs_toward
gpt,HYP-053,1,1,away_vs_toward
gpt,HYP-054,0,1,away_vs_toward
gpt,HYP-055,0,1,away_vs_toward
gpt,HYP-056,0,1,away_vs_toward
gpt,HYP-057,1,1,away_vs_toward
gpt,HYP-058,0,1,away_vs_toward
gpt,HYP-059,0,1,away_vs_toward
gpt,HYP-060,1,1,away_vs_toward
gpt,HYP-061,0,1,away_vs_toward
gpt,HYP-062,0,1,away_vs_toward
gpt,HYP-063,0,1,away_vs_toward
gpt,HYP-064,0,1,away_vs_toward
gpt,HYP-065,0,1,away_vs_toward
gpt,HYP-066,1,1,away_vs_toward
gpt,HYP-067,1,1,away_vs_toward
gpt,HYP-068,1,1,away_vs_toward
gpt,HYP-069,1,1,away_vs_toward
gpt,HYP-070,1,1,away_vs_toward
gpt,HYP-071,1,1,away_vs_toward
gpt,HYP-072,1,1,away_vs_toward
gpt,HYP-073,1,1,away_vs_toward
gpt,HYP-074,1,1,away_vs_toward
gpt,HYP-075,1,1,away_vs_toward
gpt,HYP-076,1,1,away_vs_toward
gpt,HYP-077,1,1,away_vs_toward
gpt,HYP-078,1,1,away_vs_toward
gpt,HYP-079,1,1,away_vs_toward
gpt,HYP-080,0,1,away_vs_toward
gpt,HYP-081,1,1,away_vs_toward
gpt,HYP-082,1,1,away_vs_toward
gpt,HYP-083,1,1,away_vs_toward
gpt,HYP-084,1,1,away_vs_toward
gpt,HYP-085,1,1,away_vs_toward
gpt,HYP-086,1,1,away_vs_toward
gpt,HYP-087,1,1,away_vs_toward
gpt,HYP-088,1,1,away_vs_toward
gpt,HYP-089,1,1,away_vs_toward
gpt,HYP-090,1,1,away_vs_toward
gpt,HYP-091,1,1,away_vs_toward
gpt,HYP-092,1,1,away_vs_toward
gpt,HYP-093,1,1,away_vs_toward
gpt,HYP-094,0,1,away_vs_toward
gpt,HYP-095,0,1,away_vs_toward
gpt,HYP-096,0,1,away_vs_toward
gpt,HYP-097,0,1,away_vs_toward
gpt,HYP-098,0,1,away_vs_toward
gpt,HYP-099,0,1,away_vs_toward
gpt,HYP-100,0,1,away_vs_toward
gpt,HYP-101,0,1,away_vs_toward
gpt,HYP-102,0,1,away_vs_toward
gpt,HYP-103,0,1,away_vs_toward
gpt,HYP-104,0,1,away_vs_toward
gpt,HYP-105,0,1,away_vs_toward
gpt,HYP-106,0,1,away_vs_toward
gpt,HYP-107,1,1,away_vs_toward
gpt,HYP-108,1,1,away_vs_toward
gpt,HYP-109,1,1,away_vs_toward
gpt,HYP-110,1,1,away_vs_toward
gpt,HYP-111,1,1,away_vs_toward
gpt,HYP-112,1,1,away_vs_toward
gpt,HYP-113,1,1,away_vs_toward
gpt,HYP-114,1,1,away_vs_toward
gpt,HYP-115,1,1,away_vs_toward
gpt,HYP-116,1,1,away_vs_toward
gpt,HYP-117,1,1,away_vs_toward
gpt,HYP-118,1,1,away_vs_toward
gpt,HYP-119,1,1,away_vs_toward
gpt,HYP-120,1,1,away_vs_toward
gpt,HYP-121,1,1,away_vs_toward
gpt,HYP-122,1,1,away_vs_toward
gpt,HYP-123,1,1,away_vs_toward
gpt,HYP-124,1,1,away_vs_toward
gpt,HYP-125,1,1,away_vs_toward
gpt,HYP-126,1,1,away_vs_toward
gpt,HYP-127,1,1,away_vs_toward
gpt,HYP-128,1,1,away_vs_toward
gpt,HYP-129,1,1,away_vs_toward
gpt,HYP-130,1,1,away_vs_toward
gpt,HYP-131,1,1,away_vs_toward
gpt,HYP-132,1,1,away_vs_toward
gpt,HYP-133,1,1,away_vs_toward
gpt,HYP-134,0,1,away_vs_toward
gpt,HYP-135,0,1,away_vs_toward
gpt,HYP-136,1,1,away_vs_toward
gpt,HYP-137,0,1,away_vs_toward
gpt,HYP-138,0,1,away_vs_toward
gpt,HYP-139,0,1,away_vs_toward
gpt,HYP-140,0,1,away_vs_toward
gpt,HYP-141,0,1,away_vs_toward
gpt,HYP-142,0,1,away_vs_toward
gpt,HYP-143,0,1,away_vs_toward
gpt,HYP-144,1,1,away_vs_toward
gpt,HYP-145,1,1,away_vs_toward
gpt,HYP-146,0,1,away_vs_toward
gpt,HYP-147,1,1,away_vs_toward
gpt,HYP-148,1,1,away_vs_toward
gpt,HYP-149,1,1,away_vs_toward
gpt,HYP-150,1,1,away_vs_toward
gpt,HYP-151,1,1,away_vs_toward
gpt,HYP-152,1,1,away_vs_toward
gpt,HYP-153,1,1,away_vs_toward
gpt,HYP-154,1,1,away_vs_toward
gpt,HYP-155,1,1,away_vs_toward
gpt,HYP-156,1,1,away_vs_toward
gpt,HYP-157,1,1,away_vs_toward
gpt,HYP-158,1,1,away_vs_toward
gpt,HYP-159,1,1,away_vs_toward
gpt,HYP-160,1,1,away_vs_toward
gpt,HYP-161,1,1,away_vs_toward
gpt,HYP-162,1,1,away_vs_toward
gpt,HYP-163,1,1,away_vs_toward
gpt,HYP-164,1,1,away_vs_toward
gpt,HYP-165,1,1,away_vs_toward
gpt,HYP-166,1,1,away_vs_toward
gpt,HYP-167,1,1,away_vs_toward
gpt,HYP-168,1,1,away_vs_toward
gpt,HYP-169,1,1,away_vs_toward
gpt,HYP-170,1,1,away_vs_toward
gpt,HYP-171,1,1,away_vs_toward
gpt,HYP-172,1,1,away_vs_toward
gpt,HYP-173,1,1,away_vs_toward
gpt,HYP-175,0,1,away_vs_toward
gpt,HYP-179,0,1,away_vs_toward
gpt,HYP-186,0,1,away_vs_toward
gpt,HYP-187,1,1,away_vs_toward
gpt,HYP-188,1,1,away_vs_toward
gpt,HYP-189,1,1,away_vs_toward
gpt,HYP-190,1,1,away_vs_toward
gpt,HYP-191,1,1,away_vs_toward
gpt,HYP-192,1,1,away_vs_toward
gpt,HYP-193,1,1,away_vs_toward
gpt,HYP-194,1,1,away_vs_toward
gpt,HYP-195,1,1,away_vs_toward
gpt,HYP-196,1,1,away_vs_toward
gpt,HYP-197,1,1,away_vs_toward
gpt,HYP-198,1,1,away_vs_toward
gpt,HYP-199,1,1,away_vs_toward
gpt,HYP-200,1,1,away_vs_toward
gpt,HYP-201,1,1,away_vs_toward
gpt,HYP-202,1,1,away_vs_toward
gpt,HYP-203,1,1,away_vs_toward
gpt,HYP-204,1,1,away_vs_toward
gpt,HYP-205,1,1,away_vs_toward
gpt,HYP-206,1,1,away_vs_toward
gpt,HYP-207,1,1,away_vs_toward
gpt,HYP-208,1,1,away_vs_toward
gpt,HYP-209,1,1,away_vs_toward
gpt,HYP-210,1,1,away_vs_toward
gpt,HYP-211,1,1,away_vs_toward
gpt,HYP-212,1,1,away_vs_toward
gpt,HYP-213,1,1,away_vs_toward
gpt,HYP-214,0,1,away_vs_toward
gpt,HYP-215,0,1,away_vs_toward
gpt,HYP-216,0,1,away_vs_toward
gpt,HYP-217,0,1,away_vs_toward
gpt,HYP-218,0,1,away_vs_toward
gpt,HYP-219,0,1,away_vs_toward
gpt,HYP-220,0,1,away_vs_toward
gpt,HYP-221,0,1,away_vs_toward
gpt,HYP-222,0,1,away_vs_toward
gpt,HYP-223,0,1,away_vs_toward
gpt,HYP-224,0,1,away_vs_toward
gpt,HYP-225,0,1,away_vs_toward
gpt,HYP-226,0,1,away_vs_toward
gpt,HYP-227,1,1,away_vs_toward
gpt,HYP-228,1,1,away_vs_toward
gpt,HYP-229,1,1,away_vs_toward
gpt,HYP-230,1,1,away_vs_toward
gpt,HYP-231,1,1,away_vs_toward
gpt,HYP-232,1,1,away_vs_toward
gpt,HYP-233,1,1,away_vs_toward
gpt,HYP-234,1,1,away_vs_toward
gpt,HYP-235,1,1,away_vs_toward
gpt,HYP-236,1,1,away_vs_toward
gpt,HYP-237,1,1,away_vs_toward
gpt,HYP-238,1,1,away_vs_toward
gpt,HYP-239,1,1,away_vs_toward
gpt,HYP-240,1,1,away_vs_toward
